orderId,value,barcode
776,6.1,766451099-6
777,4.8,926073405-3
778,1.1,168182361-6
779,3.8,505361518-7
780,7.6,272424348-X
781,8.6,582919432-5
782,8.8,236627759-8
783,4.1,905373891-6
784,4.2,362346400-7
785,9.6,513973840-6
786,4.3,644096947-1
787,5.1,565524338-5
788,1.6,608296930-8
789,5.3,884793485-0
790,1.6,852441550-9
791,4.7,363932800-0
792,9.6,216574353-2
793,2.7,929368119-6
794,1.4,823392104-1
795,4.0,915628929-4
796,9.6,356970490-4
797,5.2,942664066-5
798,5.0,806559558-8
799,6.8,661934248-5
800,9.0,344154195-2
801,1.7,211318691-8
802,7.5,701016149-6
803,2.5,777596298-4
804,6.5,537781857-1
805,2.9,839736024-7
806,2.6,986807588-2
807,9.8,102767630-8
808,9.7,110868788-1
809,1.9,922106821-8
810,8.3,882862396-9
811,3.2,826575563-5
812,1.5,241474884-2
813,3.1,417352650-4
814,8.7,899513742-8
815,4.8,131356891-0
816,5.7,255801549-4
817,6.3,748493378-3
818,7.0,538782775-1
819,10.0,262283758-5
820,7.5,851451023-1
821,5.2,768266851-2
822,7.7,109283747-7
823,3.7,990451068-7
824,2.4,107837994-7
825,1.0,092114260-9
826,4.0,329096789-1
827,5.8,002927269-6
828,9.1,285680726-7
829,3.4,571728681-3
830,7.3,131433038-1
831,5.9,449294686-1
832,9.4,196503758-5
833,8.2,453651390-6
834,8.2,061261429-8
835,7.0,512072278-4
836,6.0,938808582-5
837,5.0,481443475-8
838,1.5,738020876-4
839,8.6,731916039-0
840,9.7,033803545-1
841,3.8,439331677-0
842,9.2,890928669-5
843,5.1,993374967-6
844,1.8,065689948-4
845,1.1,190758954-6
846,4.7,139439339-3
847,8.2,851428756-7
848,3.3,365305072-3
849,9.7,768271290-2
850,5.0,176583321-3
851,3.3,041269453-0
852,2.8,114956996-4
853,2.6,882979274-8
854,9.1,365809519-9
855,5.1,411108123-1
856,4.5,379783102-1
857,1.2,269675544-2
858,7.5,375510032-0
859,4.2,475116298-5
860,9.4,286633431-0
861,2.2,800715965-7
862,5.6,300566520-8
863,9.8,887246776-4
864,1.3,959889959-4
865,8.0,017313839-X
866,8.6,041337324-X
867,9.1,222019534-1
868,5.7,061402440-4
869,6.1,654011390-0
870,1.1,678732900-8
871,1.5,920210035-7
872,4.4,757656687-6
873,7.3,326826215-5
874,6.8,987618734-1
875,9.6,223545632-4
876,5.3,096999865-1
877,5.2,351334490-2
878,9.4,481638802-8
879,1.3,363528608-7
880,6.8,795506052-0
881,7.6,641456483-4
882,6.6,476312316-5
883,9.5,528236265-1
884,8.8,474181959-0
885,4.0,705843362-3
886,6.2,182725460-2
887,4.4,811200869-8
888,8.1,901291213-X
889,8.0,517832412-9
890,9.5,649928217-0
891,9.4,826766372-X
892,1.5,424015562-2
893,7.9,167151333-9
894,9.2,098484253-5
895,9.3,360887056-3
896,7.6,565223991-3
897,6.7,594908143-9
898,1.1,870751148-5
899,5.3,060648533-3
900,1.0,189198734-8
901,6.4,474512472-4
902,8.0,452347354-4
903,8.5,027645401-4
904,9.7,158133326-9
905,2.1,668849953-3
906,2.1,186117020-3
907,6.2,352609563-9
908,3.3,650748785-6
909,2.3,102153940-6
910,6.0,514810326-4
911,4.0,981839994-3
912,3.6,009712699-3
913,9.1,109455711-0
914,6.8,992714171-8
915,6.1,338858262-9
916,6.3,168696673-3
917,3.5,594300445-9
918,2.0,670214734-1
919,2.9,930097402-5
920,9.1,013530951-4
921,4.4,925633187-X
922,1.1,666886635-2
923,7.7,396087356-5
924,6.3,859854576-7
925,3.8,042189291-9
926,2.6,528188268-6
927,3.4,963353294-9
928,7.9,373433363-6
929,9.2,937076857-2
930,6.1,199236814-7
931,4.2,127357706-X
932,9.6,688112288-8
933,7.2,454336399-X
934,5.0,661310736-0
935,2.0,959831925-3
936,7.8,508357556-6
937,3.3,287141115-8
938,6.0,741708156-8
939,6.4,614314745-0
940,4.8,910100261-9
941,3.4,653930198-7
942,7.9,885369498-X
943,2.1,554310584-3
944,9.4,871208219-8
945,7.1,924574929-0
946,4.2,034749719-5
947,8.7,811926880-6
948,6.2,024984639-X
949,6.0,440201880-3
950,3.2,536487629-2
951,3.8,682345663-9
952,7.6,559825696-7
953,1.9,393238613-2
954,1.4,362055526-5
955,5.0,427637276-3
956,9.7,630846605-0
957,4.4,841624826-5
958,1.4,869514232-9
959,9.6,464367407-5
960,5.7,672111356-2
961,5.0,231045444-3
962,8.5,544769549-X
963,6.8,887450941-3
964,2.1,568919739-4
965,7.3,432679685-5
966,8.9,552276234-9
967,3.0,916529643-5
968,9.7,307231118-8
969,1.9,174604796-8
970,4.1,967465809-2
971,6.8,562049349-0
972,9.8,160647428-6
973,5.9,646739140-3
974,2.2,426772152-1
975,8.9,206042281-7
976,3.5,653978879-7
977,6.4,917768334-X
978,2.4,279802982-1
979,7.8,740748213-6
980,9.8,611232720-1
981,5.0,251070663-2
982,7.6,143493404-7
983,1.1,354763669-8
984,3.3,708601337-4
985,2.5,720172389-8
986,7.4,173719842-8
987,2.7,556216998-3
988,9.1,116826369-7
989,4.0,970847573-4
990,8.9,099651235-7
991,5.5,993194951-1
992,6.7,718118748-1
993,5.3,439507760-9
994,7.2,006577194-X
995,3.8,028529585-3
996,1.9,531825335-0
997,4.5,883850138-6
998,2.7,575404949-8
999,4.3,654557472-8
1000,6.9,618359529-2
